"tag","ja","aliases"
"ball","ボール,球","ボール,球"
"bandages","包帯,眼帯","包帯,眼帯"
"bandaid","絆創膏","絆創膏"
"bara","ホモ,ゲイ","ホモ,ゲイ"
"barefoot","裸足,素足,裸足裏,制服裸足,裸足男子","裸足,素足,裸足裏,制服裸足,裸足男子"
"bare_legs","生足","生足"
"baseball_cap","野球帽","野球帽"
"bdsm","ボンデージ,ボンテージ,ドM,ドMホイホイ,ドSホイホイ,拘束具","ボンデージ,ボンテージ,ドM,ドMホイホイ,ドSホイホイ,拘束具"
"beach","砂浜,ビーチ,すなはま,浜辺","砂浜,ビーチ,すなはま,浜辺"
"beard","顎鬚,あごひげ","顎鬚,あごひげ"
"bed","ベッド","ベッド"
"bed_sheet","シーツ,ベッドシーツ","シーツ,ベッドシーツ"
"bell","ベル","ベル"
"belt","ベルト","ベルト"
"beret","ベレー","ベレー"
"between_breasts","おっぱいポケット","おっぱいポケット"
"bike_shorts","スパッツ,レーサーパンツ,ジャージ+スパッツ","スパッツ,レーサーパンツ,ジャージ+スパッツ"
"bikini_top_only","裸ビキニトップ","裸ビキニトップ"
"bird","鳥,擬鳥化,鳥ポケモン","鳥,擬鳥化,鳥ポケモン"
"black-framed_eyewear","黒縁眼鏡","黒縁眼鏡"
"black_bikini","黒ビキニ,たくし上げ黒ビキニ","黒ビキニ,たくし上げ黒ビキニ"
"black_bra","黒下着,黒ブラ","黒下着,黒ブラ"
"black_dress","黒ワンピ","黒ワンピ"
"black_eyes","黒目","黒目"
"black_gloves","黒手袋","黒手袋"
"black_panties","黒パン,黒パンツ","黒パン,黒パンツ"
"black_pantyhose","黒スト,黒ストッキング,黒タイツ","黒スト,黒ストッキング,黒タイツ"
"black_shirt","黒シャツ","黒シャツ"
"black_socks","黒ハイソックス,黒ソックス","黒ハイソックス,黒ソックス"
"black_thighhighs","黒ニーソックス,黒ニーソ,黒ニーハイ,黒ストッキング","黒ニーソックス,黒ニーソ,黒ニーハイ,黒ストッキング"
"blazer","ブレザー","ブレザー"
"blood","血","血"
"blouse","ブラウス","ブラウス"
"blue_archive","ブルアカ,ブルーアーカイブ,ブルアカイラスト部,ブルーアーカイブイラコン","ブルアカ,ブルーアーカイブ,ブルアカイラスト部,ブルーアーカイブイラコン"
"blue_bikini","青ビキニ","青ビキニ"
"blue_dress","青ドレス,青いワンピース,青いワンピ","青ドレス,青いワンピース,青いワンピ"
"blue_shirt","青シャツ","青シャツ"
"blue_skirt","青いスカート","青いスカート"
"blue_sky","青空,蒼空,青い空,蒼天,蒼穹,碧空","青空,蒼空,青い空,蒼天,蒼穹,碧空"
"blunt_bangs","ぱっつん,パッツン","ぱっつん,パッツン"
"blurry","ぼかし,ぼやけた","ぼかし,ぼやけた"
"blurry_background","",""
"bob_cut","おかっぱ,ボブカット,ボブ,黒髪ボブ,黒髪ボブカット,茶髪ボブ,赤髪ボブ,ショートボブ,エアリーボブ,前下がりボブ,マッシュルームカット,ワンレンボブ,前上がりボブ,おかっぱ男子","おかっぱ,ボブカット,ボブ,黒髪ボブ,黒髪ボブカット,茶髪ボブ,赤髪ボブ,ショートボブ,エアリーボブ,前下がりボブ,マッシュルームカット,ワンレンボブ,前上がりボブ,おかっぱ男子"
"bodysuit","ボディスーツ,ぴっちりスーツ,ボディースーツ,艦ラバー,ラバースーツ,全身タイツ,ピッチリスーツ","ボディスーツ,ぴっちりスーツ,ボディースーツ,艦ラバー,ラバースーツ,全身タイツ,ピッチリスーツ"
"bondage","緊縛,ボンデージ,ボンテージ,東方緊縛画","緊縛,ボンデージ,ボンテージ,東方緊縛画"
"book","本","本"
"boots","ブーツ,長靴,裸ブーツ","ブーツ,長靴,裸ブーツ"
"bottle","瓶,ペットボトル","瓶,ペットボトル"
